iter	Passed	Remaining
0	144	144023
1	146	73317
2	149	49594
3	151	37735
4	153	30624
5	155	25799
6	157	22411
7	159	19838
8	161	17831
9	163	16230
10	165	14911
11	167	13803
12	169	12884
13	171	12104
14	173	11402
15	175	10783
16	177	10255
17	179	9787
18	181	9372
19	183	8996
20	185	8637
21	187	8314
22	188	8018
23	190	7754
24	192	7517
25	194	7292
26	196	7086
27	198	6887
28	200	6704
29	201	6528
30	203	6365
31	205	6219
32	207	6082
33	209	5956
34	211	5831
35	213	5713
36	215	5603
37	216	5489
38	218	5381
39	220	5286
40	222	5197
41	224	5117
42	226	5047
43	228	4970
44	230	4897
45	232	4828
46	234	4761
47	236	4698
48	238	4634
49	241	4579
50	243	4522
51	244	4464
52	246	4405
53	248	4347
54	250	4297
55	252	4250
56	253	4201
57	255	4151
58	257	4101
59	258	4052
60	260	4009
61	262	3970
62	264	3935
63	266	3901
64	268	3863
65	270	3823
66	271	3787
67	273	3749
68	275	3713
69	276	3678
70	278	3648
71	281	3622
72	284	3617
73	286	3588
74	288	3558
75	290	3531
76	292	3504
77	294	3479
78	296	3454
79	298	3428
80	299	3400
81	301	3372
82	302	3336
83	303	3311
84	305	3289
85	308	3274
86	310	3255
87	312	3237
88	314	3215
89	315	3192
90	317	3170
91	319	3148
92	320	3127
93	322	3110
94	324	3092
95	326	3073
96	328	3055
97	330	3038
98	331	3021
99	333	3004
100	335	2988
101	337	2974
102	339	2957
103	341	2943
104	343	2929
105	345	2914
106	347	2896
107	348	2875
108	349	2854
109	350	2835
110	351	2816
111	352	2797
112	354	2780
113	355	2762
114	356	2744
115	357	2727
116	358	2706
117	359	2688
118	360	2670
119	361	2652
120	362	2636
121	364	2620
122	365	2603
123	366	2587
124	367	2570
125	368	2556
126	369	2540
127	370	2526
128	371	2511
129	372	2495
130	373	2480
131	375	2465
132	376	2451
133	377	2437
134	378	2425
135	379	2411
136	380	2398
137	381	2385
138	383	2373
139	384	2361
140	385	2349
141	386	2335
142	387	2322
143	388	2309
144	389	2296
145	390	2284
146	391	2272
147	392	2260
148	394	2251
149	395	2240
150	396	2229
151	397	2218
152	398	2208
153	400	2197
154	401	2187
155	402	2175
156	402	2162
157	405	2161
158	406	2151
159	407	2140
160	408	2127
161	409	2116
162	410	2105
163	411	2095
164	411	2084
165	412	2074
166	414	2065
167	415	2055
168	416	2046
169	417	2036
170	434	2106
171	437	2107
172	438	2097
173	439	2086
174	440	2075
175	440	2064
176	441	2052
177	442	2042
178	442	2031
179	443	2020
180	444	2010
181	445	2000
182	446	1992
183	447	1986
184	449	1978
185	450	1969
186	450	1960
187	451	1951
188	452	1942
189	453	1932
190	454	1923
191	454	1914
192	455	1904
193	456	1894
194	456	1885
195	457	1875
196	457	1866
197	458	1857
198	459	1847
199	459	1838
200	460	1830
201	461	1821
202	461	1813
203	462	1805
204	463	1797
205	464	1788
206	464	1780
207	465	1772
208	466	1765
209	467	1758
